,S207,S327,S352,S364,S365,S366,S404,S413,S429,C006,C343,C363,C374,C376,C430,C227
200024_at,-0.2343506599137255,0.15655092830733253,-0.023031498539105577,0.2626378560968181,0.45973379195694175,0.08652197396181194,-0.3162995010457861,-0.04224051031775211,-0.3325185714185377,0.5515122309067682,0.19965435010657018,-0.6042245999174787,0.5290602496858057,0.23284974267658587,-0.16042755421636734,0.18100278277533732
200025_s_at,-0.3995822006433487,0.19296109975469022,-0.008033691287990585,0.1480668237992786,0.5248319153656862,0.13153280898736242,-0.22086239859257706,0.11569417241473356,-0.15886033100245456,0.6725273099455293,0.31392541490244863,-0.8175803546487899,0.6662881859581153,0.05255598016431495,0.04602970276908458,0.1816148854239792
200026_at,-0.49004113643337277,0.13768583100392462,-0.09797466040995317,0.06142552360418385,0.6040206300418092,0.24460685017401396,-0.04708678148279333,0.03942626854482967,0.10908578665059387,1.0309386256567246,0.37388140047143725,-0.9639355532424849,0.6954710491724327,-0.07952767822382256,-0.06791515622425237,0.274964551769461
200027_at,-0.4495515333172886,0.18415954284164648,0.20478985358978985,-0.10533413008545534,0.22494675363354943,0.17364466452014415,-0.09271685349308445,-0.023664667271350304,-0.15637499827941248,0.40956318762155863,0.23624108944264588,-0.7331758257403251,0.7345714982915679,-0.1949644590536037,-0.07107964136258449,0.06734314031112465
200028_s_at,-0.22832946916816876,0.10023829488746205,0.3319996603765967,-0.014663935822539997,0.20481343615372705,0.0892043495680932,0.008003075443810737,-0.03498610494110732,-0.12028675392897892,0.16795849718371958,0.12098712370449682,-0.5995976959388338,0.6446187662200442,-0.016448011942911123,0.01735856729892138,-0.026111936653642864
200029_at,-0.21522108607786627,0.12885293357548733,-0.23563508244454745,0.1494996299651481,0.24665376753515567,0.0814823515116494,-0.2290018135332712,0.022241883504483084,-0.12133495337165812,1.1128278307797794,0.19920039596954986,-0.706598676974485,0.8218237586484847,0.11297354465315834,0.012177965441974692,0.1325028038180589
200030_s_at,-0.19063134306063922,0.27329474184968117,-0.07232656212372301,-0.039070798621109404,0.2334573204223389,0.13612102553428063,-0.09002276786624996,-0.06937375341181085,-0.24063041397441154,0.45652998753006013,0.11743362139177904,-0.6492606922949529,0.5376936747575627,0.08086034374922058,0.011480948452812001,0.022772073726817332
200031_s_at,-0.2423709861633414,0.08796377132742883,-0.19948708931014103,0.10818820910298577,0.30442692164060325,0.0018873470223983446,-0.08321936019785348,-0.059212531747260044,-0.12014171824055353,0.634199402020017,0.08276500205010606,-0.7375337340979264,0.5601026608703474,-0.06497658032065701,-0.1469499421727143,0.16213507415215922
200032_s_at,-0.38036684495934736,0.03613557187617289,-0.2538921423195051,0.12181277699334636,0.4422627821106735,0.11100069153660286,-0.15286775275114017,0.12104225895094345,-0.1685314088840819,0.9446739098552044,0.05629419385081835,-0.6447249774160433,0.54727867818682,0.12930128733337654,-0.019535760157362247,0.0993121254801439
200033_at,-0.3681585068494462,0.08023422262790536,-0.11839342547381193,-0.04139981240645341,0.3155015104997192,0.3001800232381733,0.1738160782267908,-0.051907240821968514,-0.25105277046772834,0.4715055245365196,0.20758076999337138,-0.8686156266448428,0.612416737079263,0.016561599138825045,0.11238360178881379,0.12834680326224746
200034_s_at,-0.5908872209236353,0.2553114967686305,0.02336981472737243,-0.024158187957874055,0.4228739643209858,0.4726166423240459,0.1344712677987685,0.11053263766178123,-0.24386561629851933,0.8020496948728146,0.19537887174846436,-0.8316723252179274,0.7006799070634555,-0.01017777086967353,-0.055156529524662545,0.1727933234367951
200035_at,-0.09044678623360625,0.28571108896372,-0.09294736018880645,0.06466686249486742,0.08648869108094726,0.10148682806976073,0.0205092132465019,-0.1314150365204627,-0.2645510466230947,0.21275722000581876,-0.0275968659763679,-0.4546690810023728,0.46919123199023627,-0.01508895599006177,0.2525958819006249,0.13126574165256422
200036_s_at,-0.3962205793047282,0.05098232265706848,-0.12498749881730653,0.14466533158474615,0.26008407626167696,0.17624958365994292,-0.20075230446290604,-0.0266211580821194,-0.21617212596976998,1.0592807393159136,0.37507125116162854,-0.6918662691443211,0.7046115464806295,0.5185628953083246,-0.2137191584703393,0.0051506345700778056
200037_s_at,-0.35609560434520215,0.20266531958807743,-0.15356850923899312,-0.0920383435608585,0.3794717878080922,0.17596990105914223,-0.18993900402668107,0.032622886108927496,-0.13989915885901016,0.5551718493480218,0.18478030938007084,-0.662064469137885,0.7747029009105058,-0.09760206343166367,0.08770159166285474,-0.015344536240870177
200038_s_at,-0.42654045329918855,0.09046259528876632,-0.3191522141047338,0.030091140235615654,0.35586839759772104,0.12397833603037256,-0.0496802699908141,0.07329242308382788,-0.22298232456309286,1.1231034583380088,0.3265970716041693,-0.7677015981904107,0.7352844542567869,0.1140938059275296,-0.04476136013603593,0.1948706443028012
200039_s_at,-0.5239533159138112,0.3976450905438149,0.05162322625650084,0.22829573072271536,0.11597824254806444,-0.023735665053300714,-0.06857920776052673,0.05124144619108151,-0.20789776429738982,0.27964854433058495,0.0660897361777284,-0.4654206712468776,0.6385324049851819,-0.15254892856318492,0.161166270881413,0.10862076723848091
200040_at,-0.10228767794845162,0.3171435055288434,0.11547798382294783,-0.24293845224219712,0.3496136680921724,0.31297261753844463,-0.06895982163190695,0.33330363292671095,-0.09565842457501894,0.30698047750366,0.3627785319495205,-0.6762183198154084,0.9141567376012745,-0.07031504480417716,0.2252139652370868,0.3032608185157022
200041_s_at,-0.3397007634186151,0.29474688572929786,0.0026945303063650172,-0.14058003223193527,0.059694791939314484,0.0928973827550772,0.0059536539025257795,-0.14545909147854896,-0.15577325153914234,0.45461364316511776,0.0716819693082984,-0.580370990100814,0.502091061865646,0.10759531088118646,0.024822851893680387,-0.06712874328084784
200043_at,-0.1944545224559029,0.21644416527273513,0.0781211890452127,0.15027771263300949,0.2861606947073856,0.06958055291864529,-0.3840571908008945,-0.09702050947635854,-0.2168853378309139,0.32962659438818154,0.15129565686986446,-0.7053912442973029,0.5491455580543194,-0.15415679683958672,0.06902997013120782,-0.11344278983724987
200044_at,-0.06284329064246119,0.3701524471760882,-0.10272891071668333,-0.12450579870410383,0.12876205936329033,0.15365413540415318,0.41505846357848153,0.20895318928594264,-0.27955690978610637,0.4078668385077133,-0.05558815958031893,-0.4138273276492095,0.4772345148389423,0.03378023147132403,0.213128065046579,0.1750875263441385
200045_at,0.025400311972570755,0.2622647349598486,0.05490599873100788,0.3309359856965308,0.18709048778300907,0.23837800979385015,0.28243264188760797,0.398894313120433,-0.22741032742660128,0.17017760872055465,-0.16480924345097048,-0.17569723891987543,-0.19217923907081946,0.12645519490734092,-0.16604512810197303,0.27550868040120147
200046_at,-0.25517636320705694,0.4695150648027848,0.10769581262231931,0.08331448000893982,0.3041148156399158,0.07484331300659175,-0.20425619950062046,0.15686441276511243,-0.17469475232699772,0.6311031378131249,0.01576702803791452,-0.6337743903288899,0.6070076305444623,-0.1719079775687975,0.06023576420227972,-0.0942098039694228
200047_s_at,-0.3589110061648064,0.2955623248412529,-0.02026274918309312,-0.05770200000603687,0.26544255742547485,0.22979515426014707,0.1287252532604226,0.17385356546880182,-0.03550155443667968,0.2219447348162733,0.13668461533746346,-0.6602753730674484,0.6740807223376901,-0.09183886683675624,0.10301102077415436,0.10285772840352259
200048_s_at,-0.05112711988810048,0.19507797914865854,0.07140103475282888,0.059388954579326914,0.37279527233185217,0.3118799592829422,0.15355381132283963,0.04097400483057889,-0.2522860184046207,0.4258231235721617,0.09023720950252301,-0.6641743947513135,0.48386323565936173,-0.0663710006078464,0.09259581980023057,0.06032418231272452
200049_at,-0.20781182156542855,-0.03258697498256513,0.026347972546686194,0.03856858115368045,0.3135053534534622,0.03633411328763181,-0.22784163927018497,0.056459401123609254,0.19408567216909933,0.1490674754270067,0.06248148995300884,-0.26496849011860935,-0.07265174806426788,-0.25908249390839977,-0.19263244285335102,0.15349202180932764
200050_at,-0.8342593295554237,0.2615962817162023,0.2416167766746664,-0.16470211466224516,0.37424951351983005,0.3233498565271784,0.024781988401742616,0.04922509221325111,-0.19730808331451222,0.24422710699736339,0.45924813265193976,-0.6978736019646119,0.5104810426668864,-0.2246520560246852,-0.09980147837599773,0.09408100365515715
200052_s_at,-0.4921428490175179,0.1507285844441082,-0.1412324315690654,-0.015400237983200782,0.08612938976846607,-0.22393139864499823,0.08105920797277388,-0.3250182202351519,-0.1377680668051795,0.7458643078867873,0.02018362230249693,-0.18065102788797738,0.5505133137465767,-0.019918167008823318,-0.03399681507509644,0.11137116841056027
200053_at,-0.12238307386899194,0.2778276005882496,-0.024503376022692258,-0.06751624796894617,0.31998116952422606,0.09868079688035714,0.15941263651120785,0.16779758906349862,-0.08567802921008028,0.38368004782856335,-0.04579931829352368,-0.3746689316451679,0.27074868583065204,0.0722313587984873,0.02611713230941337,-0.0513730354644526
200055_at,-0.17564369219263742,0.3052089344814046,-0.017337761918311045,0.011377492427776303,-0.1013122045517365,0.04253407461260128,-0.38036019250764763,-0.22102851218744313,-0.093921099634799,0.46351800363320805,-0.052181605823230726,-0.4398665156736561,0.4530220464561534,0.01819553839857857,0.01866866948525825,0.1002972858619442
200056_s_at,-0.5281575980415534,0.46852279971074395,0.4931001625699918,0.05659868199830864,0.12559902495439257,0.34552585962756854,0.4712550287505266,0.09748080809029247,-0.013863798395732374,0.3721954299056778,0.03629307733421694,-0.38700771942263135,0.6008528057801756,-0.232114560382926,0.16701913943979996,-0.1654875036771042
200057_s_at,-0.427376022938704,0.19889864094117815,-0.16097555176612133,-0.1478922759032928,0.2562675111794004,0.11555553909653504,-0.15829926785482318,-0.13573867814428198,-0.3572259180585249,0.565662423434488,0.0797984474315685,-0.5369166847398033,0.6475853418956055,-0.0194523685232193,0.10277288069507762,0.16513102021712722
